Name,BORIS
Todd Gurley,1
Le'Veon Bell,2
Ezekiel Elliott,3
David Johnson,4
Antonio Brown,5
Alvin Kamara,6
Saquon Barkley,7
DeAndre Hopkins,8
Leonard Fournette,9
Melvin Gordon,10
Julio Jones,11
Odell Beckham Jr.,12
Kareem Hunt,13
Michael Thomas,14
Dalvin Cook,15
Devonta Freeman,16
Keenan Allen,17
A.J. Green,18
Davante Adams,19
Rob Gronkowski,20
Christian McCaffrey,21
T.Y. Hilton,22
Jordan Howard,23
Jerick McKinnon,24
Adam Thielen,25
Doug Baldwin,26
Mike Evans,27
Joe Mixon,28
Stefon Diggs,29
Tyreek Hill,30
Alex Collins,31
LeSean McCoy,32
Travis Kelce,33
Amari Cooper,34
Aaron Rodgers,35
Kenyan Drake,36
Allen Robinson,37
Larry Fitzgerald,38
Jay Ajayi,39
Marvin Jones,40
JuJu Smith-Schuster,41
Derrick Henry,42
Demaryius Thomas,43
Lamar Miller,44
Chris Hogan,45
Zach Ertz,46
Josh Gordon,47
Golden Tate,48
Brandin Cooks,49
Russell Wilson,50
Tom Brady,51
Alshon Jeffery,52
Royce Freeman,53
Marshawn Lynch,54
Mark Ingram,55
Cam Newton,56
Deshaun Watson,57
Corey Davis,58
Michael Crabtree,59
Jarvis Landry,60
Emmanuel Sanders,61
Tevin Coleman,62
Sammy Watkins,63
Dion Lewis,64
Sony Michel,65
Marquise Goodwin,66
Robert Woods,67
Devin Funchess,68
Kerryon Johnson,69
Drew Brees,70
Robby Anderson,71
Carson Wentz,72
Randall Cobb,73
Rex Burkhead,74
Rashaad Penny,75
Kirk Cousins,76
Kenny Stills,77
Cooper Kupp,78
Pierre Garcon,79
Greg Olsen,80
Andrew Luck,81
Jimmy Graham,82
Jamaal Williams,83
Ben Roethlisberger,84
Delanie Walker,85
Matthew Stafford,86
Will Fuller,87
Isaiah Crowell,88
Jamison Crowder,89
Ronald Jones II,90
Evan Engram,91
Marlon Mack,92
Philip Rivers,93
Chris Thompson,94
Marqise Lee,95
Kyle Rudolph,96
Nelson Agholor,97
Kelvin Benjamin,98
Jordy Nelson,99
Julian Edelman,100
Patrick Mahomes,101
Carlos Hyde,102
Jimmy Garoppolo,103
Sterling Shepard,104
Jordan Reed,105
Matt Ryan,106
Devante Parker,107
Jared Goff,108
Chris Carson,109
Marcus Mariota,110
Tarik Cohen,111
Rishard Matthews,112
Trey Burton,113
Kenny Golladay,114
Alex Smith,115
Duke Johnson,116
Devontae Booker,117
Tyler Lockett,118
Dak Prescott,119
Allen Hurns,120
C.J. Anderson,121
Josh Doctson,122
Peyton Barber,123
Jack Doyle,124
David Njoku,125
Giovani Bernard,126
Nick Chubb,127
DeSean Jackson,128
Mohamed Sanu,129
D.J. Moore,130
Cameron Meredith,131
Mike Williams,132
Latavius Murray,133
Mitch Trubisky,134
Blake Bortles,135
George Kittle,136
Tyrell Williams,137
Derek Carr,138
Aaron Jones,139
John Brown,140
Anthony Miller,141
Paul Richardson,142
Bilal Powell,143
James White,144
Ted Ginn,145
Tyler Eifert,146
Ty Montgomery,147
Andy Dalton,148
O.J. Howard,149
Eli Manning,150
Michael Gallup,151
Jared Cook,152
Martavis Bryant,153
Matt Breida,154
Corey Clement,155
Chris Ivory,156
Chris Godwin,157
Calvin Ridley,158
Nyheim Hines,159
D'Onta Foreman,160
Case Keenum,161
Charles Clay,162
Mike Wallace,163
Ryan Tannehill,164
Cameron Brate,165
Quincy Enunwa,166
Jermaine Kearse,167
Tyrod Taylor,168
Dez Bryant,169
Austin Seferian-Jenkins,170
Theo Riddick,171
Eric Ebron,172
Jameis Winston,173
Keelan Cole,174
John Ross,175
Ricky Seals-Jones,176
Austin Ekeler,177
Taywan Taylor,178
Donte Moncrief,179
Christian Kirk,180
Danny Amendola,181
Adrian Peterson,182
Austin Hooper,183
Frank Gore,184
Terrance Williams,185
Courtland Sutton,186
Albert Wilson,187
Doug Martin,188
Geronimo Allison,189
Jacksonville Jaguars,190
Los Angeles Rams,191
Benjamin Watson,192
Minnesota Vikings,193
Joe Flacco,194
James Washington,195
Ryan Grant,196
Philadelphia Eagles,197
Mike Gesicki,198
Spencer Ware,199
Vance McDonald,200